Acc_x	Acc_y	Acc_z	Time	Total secs	
0.187988	0.155762	0.593994	04:04:05.920	14645	
0.0629883	-0.25	1.65698	04:04:05.960	14645	
0.218994	0.218994	1.68799	04:04:06.000	14646	
-0.119873	-0.178955	0.223877	04:04:06.040	14646	
0.0178223	0.0488281	0.378906	04:04:06.079	14646	
0.210938	0.234863	0.908936	04:04:06.120	14646	
0.160889	0.0598145	1.72876	04:04:06.160	14646	
0.174805	-0.112793	0.849854	04:04:06.200	14646	
0.147949	0.375	-0.032959	04:04:06.240	14646	
0.174805	-0.227783	0.822998	04:04:06.280	14646	
0.112793	-0.079834	1.38989	04:04:06.320	14646	
0.207764	0.112793	1.58691	04:04:06.360	14646	
0.212891	0.125	0.881836	04:04:06.400	14646	
0.194824	0.359863	0.285889	04:04:06.440	14646	
0.169922	-0.267822	1.13184	04:04:06.480	14646	
0.348877	-0.153809	1.86279	04:04:06.520	14646	
0.223877	0.175781	1.1499	04:04:06.560	14646	
0.105957	-0.0187988	0.437988	04:04:06.600	14646	
-0.0239258	0.105957	0.774902	04:04:06.640	14646	
0.257812	-0.0998535	1.78687	04:04:06.680	14646	
0.414795	-0.0698242	1.45898	04:04:06.720	14646	
0.0498047	0.474854	0.118896	04:04:06.759	14646	
0.212891	0.0498047	0.630859	04:04:06.800	14646	
0.595947	-0.198975	1.47388	04:04:06.840	14646	
0.270996	0.165771	1.64893	04:04:06.880	14646	
0.0178223	0.362793	0.218994	04:04:06.920	14646	
-0.218994	-0.25	0.25	04:04:06.960	14646	
0.155762	-0.125	1.375	04:04:07.000	14647	
0.437988	0.375	1.96899	04:04:07.040	14647	
0.187988	-0.437988	0.812988	04:04:07.080	14647	
-0.0939941	0.0939941	0.0939941	04:04:07.120	14647	
0.218994	0.218994	0.937988	04:04:07.160	14647	
0.280762	0.343994	1.93799	04:04:07.200	14647	
0.187988	-0.312988	1.28198	04:04:07.240	14647	
-0.0307617	0.562988	-0.218994	04:04:07.280	14647	
